ID,Language_ID,Primary_Text,Analyzed_Word,Gloss,Translated_Text,Meta_Language_ID,LGR_Conformance,Comment,Source,Analyzed_Text,Original_Orthography,Translation_Other,Type
ex1005,soch1239,Jlá1 ré2 pá23 tsú2 láu2.,Jlá1	ré2	pá23	tsú2	láu2.,really	well	hit:PRS:3	3	skin,S/he really plays the drums well.,,,,ch01foris1998[216 (ex.9)],,,,
ex1006,ewee1241,Kofí kpɔ́-e,Kofí	kpɔ́-e,Kofi	see-3SG,Kofi saw him/her.,,,,essegbey-1999[152 (ex.16a)],,,,
ex1007,kaza1248,men üy sal-dï-m,men	üy	sal-dï-m,I	house	buy-PST-1SG,I built a house.,,,,mawkanuli-na,,,,
ex1008,nucl1643,Taroo-ga kodomo-o sikatta.,Taroo-ga	kodomo-o	sikatta.,Taro-NOM	child-ACC	scolded,Taro scolded the child.,,,,ch001miyagawatsujioka2004[26 (ex.64)],,,,
ex1009,swah1253,Juma a-li-mw-ua fisi,Juma	a-li-mw-ua	fisi,Juma	he-PST-him-kill	hyena,Juma killed a hyena.,,,,ch001vitale1981[17 (ex.16a)],,,,
ex1010,supy1237,U màha suro shwɔhɔ.,U	màha	suro	shwɔhɔ.,she	HAB	mush	cook,She cooks mush.,,,,carlson-1994[239 (ex.5)],,,,
ex1011,lazz1240,bere-k otsxoj me-Ø-tk’oč-u,bere-k	otsxoj	me-Ø-tk’oč-u,boy-ERG	comb.ABS	PV-II3-throw-AOR.I3S,The boy threw the comb.,,,,lacroix-2007[8 (ex.34)],,,,
ex1012,lazz1240,sum ndgha ren kotume var-m-i-çk’om-u-n,sum	ndgha	ren	kotume	var-m-i-çk’om-u-n,three	day	it.is	hen	NEG-II1-APPL-eat-THS-I3S,I haven’t eaten any hen for three days.,,,,,,,,
ex1013,panj1256,mãi (ó) kuRii nüü vekhiaa.,mãi	(ó)	kuRii	nüü	vekhiaa.,I	(that)	girl	ACC.PP	see:PST.M.SG,I saw the girl. (*I saw a girl.),,,,bhatia-1993[88 (ex.280a)],,,,
ex1014,koyr1242,a na ey noo attey-oo,a	na	ey	noo	attey-oo,3SG.SBJ	TR	1SG.OBJ	give	tea-DEF.SG,She gave me the tea.,,,,heath-1999[285],,,,
ex1015,koyr1242,woy-oo naar-oo wii,woy-oo	naar-oo	wii,woman-DEF.SG	TR:man-DEF.SG	kill,The woman killed the man.,,,,heath-1999[212],,,,
ex1016,koyr1242,a naey noo attey-oo,a	naey	noo	attey-oo,3SG.SBJ	TR:1SG.OBJ	give	tea-DEF.SG,She gave me the tea.,,,,heath-1999[285],,,,
ex1017,koyr1242,a na attey-oo noo yane,a	na	attey-oo	noo	yane,3SG.SBJ	TR	tea-DEF.SG	give	1SG.DAT,She gave the tea to me.,,,,heath-1999[285],,,,
ex1018,koyr1242,noo-ndi,noo-ndi,give-PASS,be given,,,,heath-1999[167],,,,
ex1019,koyr1242,wala [mey še] n bana?,wala	[mey	še]	n	bana?,Q	[who	DAT]	2SG.SBJ	pay,To whom did you pay (the fare)?,,,,heath-1999[229],,,,
ex1020,koyr1242,[mey še] a nai noo?,[mey	še]	a	nai	noo?,[who	DAT]	3SG.SBJ	TR:3PL.OBJ	give,To whom did she give them?,,,,heath-1999[285],,,,
ex1021,koyr1242,čin noa n-a noo mane?,čin	noa	n-a	noo	mane?,what	FOC:3SG.SBJ	TR-3SG.OBJ	give	2SG.DAT,What did he give you?,,,,heath-1999[285],,,,
ex1022,koyr1242,mey-yan noa nai noo kaŋkan-oo?,mey-yan	noa	nai	noo	kaŋkan-oo?,who-PL	FOC:3SG.SBJ	TR:3PL.OBJ	give	watermelon-DEF.SG,Whom did she give the watermelon (to)?,,,,heath-1999[285],,,,
ex1023,koyr1242,čin no a n-a čebe mane?,čin	no	a	n-a	čebe	mane?,what	FOC	3SG.SUBJ	TR-3SG.OBJ	show	2SG.DAT,What [focus] did he show you?,,,,heath-1999[286],,,,
ex1024,koyr1242,?čin noa na ni noo?,?čin	noa	na	ni	noo?,what	FOC:3SG.SBJ	TR	2SG.OBJ	give,What did he give you?,,,,heath-1999[285],,,,
ex1025,koyr1242,"a nee [ŋga boŋ še],...","a	nee	[ŋga	boŋ	še],...",3SG.SBJ	say	[3.REFL.SG	head	DAT],"He said to himself,...",,,,heath-1999[351],,,,
ex1026,koyr1242,i gaa doon-andi ŋgey.,i	gaa	doon-andi	ŋgey.,3PL.SBJ	IPFV:3SG.OBJ	accustom-CAUS	3PL,They accustom him to them(-selves).,,,,heath-1999[355],,,,
ex1027,koyr1242,haa kaŋ [ni nd-aa] n-a tee [čera se],haa	kaŋ	[ni	nd-aa]	n-a	tee	[čera	se],thing	REL	[2SG	and-3SG.OBJ]	TR-3SG.OBJ	do	[friend	DAT],what you and he did to each other,,,,heath-1999[359],,,,
ex1028,koyr1242,i nee čere se [a-ffoo kul ma koy ŋga čer-oo baaba wii],i	nee	čere	se	[a-ffoo	kul	ma	koy	ŋga	čer-oo	baaba	wii],3PL.SBJ	say	friend	DAT	[ABS-one	all	SBJV	go	3SG	friend-DEF.SG	father	kill],They said to each other that each (of them) should go kill the other’s father.,,,,heath-1999[360],,,,
ex1029,lako1247,John Mary wówapi wã Ø-Ø-kʔú.,John	Mary	wówapi	wã	Ø-Ø-kʔú.,John	Mary	book	a	3SG.U-3SG.A-give,Mary gave John a book.,,,,van-valin-1977[28 (ex.54f)],,,,
ex1030,lako1247,ni-wi’cha-wa-kʔu,ni-wi’cha-wa-kʔu,2SG.OBJ-3PL.OBJ-1SG.SBJ-give,I give you to them.,,,,van-valin-1977[7 (ex.8c)],,,,
ex1031,lako1247,John Mary wo'wapi wã ophe’kicathũ.,John	Mary	wo'wapi	wã	ophe’kicathũ.,John	Mary	book	a	buy:for(APPL),John bought a book for Mary.,,,,van-valin-1977[6 (ex.7b)],,,,
ex1032,lako1247,[wichaša eya] [šųkala ki] [wicha+ma+ki+pazo pi],[wichaša	eya]	[šųkala	ki]	[wicha+ma+ki+pazo	pi],[man.PL	some]	[puppy	the]	[3.OBJ+1.OBJ+DAT/APPL+show	PL],Some men showed the puppies to me.,,,,williamson-2003[81],,,,
ex1033,lako1247,John wo'wapi wã ophe’thũ.,John	wo'wapi	wã	ophe’thũ.,John	book	a	buy,John bought a book.,,,,van-valin-1977[6],,,,
ex1034,lako1247,Mary John oma'kilote.,Mary	John	oma'kilote.,Mary	John	3SG.A.borrow.PST.3SG.T.from.me,Mary borrowed John from me. (*Mary borrowed me from John.),,,,van-valin-1977[17],,,,
ex1035,lako1247,Mary John etã' oma'lote.,Mary	John	etã'	oma'lote.,Mary	John	from	she:borrowed:me,Mary borrowed me from John.,,,,van-valin-1977[17],,,,
ex1036,lako1247,maya'kte,maya'kte,kill.2SG.A>1SG.P,You kill me.,,,An example with indexing.,van-valin-1977[7],,,,
ex1037,lako1247,wicha’ŝa ki wī'yã wā xta'lehã wãyã'ke kihe wo'wapi ki kʔu',wicha’ŝa	ki	wī'yã	wā	xta'lehã	wãyã'ke	kihe	wo'wapi	ki	kʔu',man	DET	woman	a	yesterday	3SG.3SG.see	DET	book	DET	give,The man gave the book to the woman he saw yesterday .,,,,van-valin-1977[47],,,,
ex1038,lako1247,wicha’ŝa wã xta'lehã wo'wakiyake kihe wĩ'yã ki wo'wapi ophe'kicathũ.,wicha’ŝa	wã	xta'lehã	wo'wakiyake	kihe	wĩ'yã	ki	wo'wapi	ophe'kicathũ.,man	a	yesterday	3SG.1SG.talk.to	DET	woman	DET	book	3SG.3SG.3SG.buy.for,The man I talked to yesterday bought the woman a book .,,,,van-valin-1977[57],,,,
ex1039,lako1247,hemi’cʔiye,hemi’cʔiye,that.REFL.say,I said that to myself.,,,,van-valin-1977[30],,,,
ex1040,lako1247,wichota el ik-pazo pi,wichota	el	ik-pazo	pi,many.people	to	REFL-show	PL,They showed themselves off to many people.,,,,williamson-2003[173],,,,
ex1041,lako1247,wo'wapi ki ũki’chicʔupi.,wo'wapi	ki	ũki’chicʔupi.,book	the	we:each_other:give:PL,We gave each other books.,,,,van-valin-1977[31],,,,
ex1042,lako1247,hemi’cʔiye.,hemi’cʔiye.,that:myself:say,I said that to myself.,,,,van-valin-1977[30],,,,
ex1043,lako1247,oni’cʔilote.,oni’cʔilote.,yourself:borrow,You borrowed it for yourself.,,,,van-valin-1977[30],,,,
ex1044,lako1247,wakąyeza eya thaspą ki wicha-wa-k’u.,wakąyeza	eya	thaspą	ki	wicha-wa-k’u.,child	some	apple	the	3PL.U-1SG.A-give,I gave the apples to some children.,,,,williamson-2003[108],,,,
ex1045,lako1247,šųka yamni ki Bill wicha-wa-k’u.,šųka	yamni	ki	Bill	wicha-wa-k’u.,dog	three	the	Bill	3PL.U-1SG.A-give,I gave the three dogs to Bill.,,,,williamson-2003[108],,,,
ex1046,lako1247,hãpa ki ophe’yechithũpi.,hãpa	ki	ophe’yechithũpi.,shoe	the	you:each_other:buy:PL,You (PL) bought shoes for each other.,,,Here as in the case of reflexives there is no applicative marker.,van-valin-1977[31],,,,
ex1047,lako1247,wa-ya’wa,wa-ya’wa,ANTIP-read,read/study,,,,van-valin-1977[14],,,,
ex1048,lako1247,w-i’gnu,w-i’gnu,IND-mention,He mentions (unkind) things to him.,,,,van-valin-1977[14],,,,
ex1049,lako1247,wa-w-i’gnu,wa-w-i’gnu,IND-IND-mention,He mentions (unkind) things to people.,,,,van-valin-1977[14],,,,
ex1050,lako1247,wa-ki'-pazo,wa-ki'-pazo,1SG-APPL-show,I show it to him.,,,-(ki)ci- applicative is exclusively benefactive,van-valin-1977[18],,,,
ex1051,lako1247,we'-ci-pazo,we'-ci-pazo,1SG-APPL-show,I showed it for him. (I pointed it out for him.),,,,van-valin-1977[18],,,,
ex1052,lako1247,kte ma+ya+ye.,kte	ma+ya+ye.,kill	1.OBJ+2.NOM+cause,You unintentionally made me kill him.,,,,williamson-2003[125],,,,
ex1053,mart1255,Nganaju yaan pawulu-ngara-a kampa-lalha murla-a.,Nganaju	yaan	pawulu-ngara-a	kampa-lalha	murla-a.,1SG.GEN	wife	child-PL-ACC	cook-PST	meat-ACC,My wife cooked meat for the kids.,,,,dench-1995[68],,,,
ex1054,mart1255,Ngayu ngurnu kanyara-a thathu-lalha naganaju-u kurntal-yu.,Ngayu	ngurnu	kanyara-a	thathu-lalha	naganaju-u	kurntal-yu.,1SG.NOM	that.ACC	man-ACC	send-PST	1SG>GEN-ACC	daughter-ACC,I sent that man my daughter.,,,,dench-1995[231],,,,
ex1055,mart1255,Ngunhu pawulu yungku-yangu murla-a nganaju-wu-lu yaan-tu.,Ngunhu	pawulu	yungku-yangu	murla-a	nganaju-wu-lu	yaan-tu.,that.NOM	child	give-PASS.PFV	meat-ACC	1SG.OBL-GEN-EFF	wife-EFF,That child was given meat by my wife.,,,,dench-1995[229],,,,
ex1056,mart1255,Nhiyu murla yungku-yangu yirna kanyara-a ngulu wartirra-lu.,Nhiyu	murla	yungku-yangu	yirna	kanyara-a	ngulu	wartirra-lu.,this.NOM	meat	give-PASS.PFV	this.ACC	man-ACC	that.EFF	woman-EFF,This meat was given to this man by that woman.,,,,dench-1995[229],,,,
ex1057,mart1255,Kartu marrari-i kuyil-yu mir.ta nhuura-ma-rninyji pawulu-ngara-a.,Kartu	marrari-i	kuyil-yu	mir.ta	nhuura-ma-rninyji	pawulu-ngara-a.,2SG.NOM	word-ACC	bad-ACC	not	knowing-CAUS-FUT	child-PL-ACC,Don’t you teach the children bad words.,,,,dench-1995[67],,,,
ex1058,ainu1240,cáca weysisam icen kore.,cáca	weysisam	icen	kore.,elder	be.poor.Japanese	money	give,The elderly man gave the poor Japanese some money.,,,,tamura-2000[42],,,,
ex1059,ainu1240,ekasi (káni) kampi en-kore.,ekasi	(káni)	kampi	en-kore.,grandfather	(1SG.PRON)	letter	1SG.ACC-give,The elderly man sent me a letter.,,,,tamura-2000[54],,,,
ex1060,ainu1240,"Nen orun e ye wa, ...","Nen	orun	e	ye	wa,	...",who	to	you	say	COORD.CONJZ	...,To whom are you saying...,,,A similar example is found in Refsing (1986: 166). CONJZ = conjunctionalizer,refsing-1986[126],,,,
ex1061,ainu1240,en-kore,en-kore,1SG.ACC-give,You (SG) give/gave (that) to me.,,,,tamura-2000[60],,,,
ex1062,ainu1240,ekasi (káni) en-nukar,ekasi	(káni)	en-nukar,grandfather	(1SG.PRON)	1SG.ACC-see,The elderly man sees me.,,,,tamura-2000[54],,,,
ex1063,ainu1240,si-kasuy-re,si-kasuy-re,self-assist-CAUS,to have (someone) help (me),,,,tamura-2000[215],,,,
ex1064,ainu1240,e-yay-ko-[u-epeke-re],e-yay-ko-[u-epeke-re],RECP-APPL-be.clear-CAUS-clarify-each.other,"tell a story to oneself > think deeply, worry",,,Note that u-epeke-re in its turn is also a lexicalized form: u-epeke-re REC-APPL-be.clear-CAUS clarify-each.other >tell a story.,refsing-1986[183],,,,
ex1065,ainu1240,u-e-re,u-e-re,RECP-eat-CAUS,to eat together / give each other to eat,,,,tamura-2000[215],,,,
ex1066,ainu1240,Utaspa mip-ihi u-erusa.,Utaspa	mip-ihi	u-erusa.,mutually	clothing-POSS	RECP-lend,[They] lend each other their clothes.,,,,alpatov-etal-2007[1770 (ex.28a)],,,,
ex1067,ainu1240,Taan cep an u-ko-saraye wa an e.,Taan	cep	an	u-ko-saraye	wa	an	e.,this	fish	1PL	RECP-APPL-share	and	1PL	eat,We share this fish with each other and eat it.,,,,refsing-1986[184],,,,
ex1068,ainu1240,Kestoankonno u-ko-uepekere an.,Kestoankonno	u-ko-uepekere	an.,every.day	RECP-APPL-tell.stories	1PL,Every day we tell stories to each other.,,,,refsing-1986[185],,,,
ex1069,ainu1240,Kestoankonno u-ko-uepeker-an.,Kestoankonno	u-ko-uepeker-an.,every.day	RECP-APPL-tell.stories-IND,Every day we tell stories to each other.,,,,alpatov-etal-2007[1769 (ex.23)],,,,
ex1070,ainu1240,A=Ø=kor yupi i=ko-siknu-re yan.,A=Ø=kor	yupi	i=ko-siknu-re	yan.,LOG.S=3.OBJ=have	elder.brother	LOG.OBJ=for.APPL-be.alive-CAUS	IMP.POL,Please revive my uncle for me!,,,,bugaeva-2010[37 (ex.46a)],,,,
ex1071,ainu1240,si-kasuy-re,si-kasuy-re,REFL-assist-CAUS,to have smb help myself,,,,tamura-2000,,,,
ex1072,ainu1240,iomante,iomante,INDF.go.CAUS,send somebody/something off (The Bear Festival),,,,refsing-1986[191],,,,
ex1073,ainu1240,unuhu oro wa an-kóyki,unuhu	oro	wa	an-kóyki,(his)mother	place	from	INDEFP-NOM:scold,He was scolded by his mother.,,,,tamura-2000[72],,,,
ex1074,ainu1240,Es-epákasnu-an kusu-ne na.,Es-epákasnu-an	kusu-ne	na.,2PL.ACC-teach-1SG.NOM	going-to	SGST,I’ll teach you (PL).,,,,tamura-2000[61],,,,
ex1075,male1292,N-siwehs n-kisi-mil-a-n-ol psite oqitonu-l.,N-siwehs	n-kisi-mil-a-n-ol	psite	oqitonu-l.,1-brother	1-PRF-give-DIR-n-INAN.PL	all	canoe-INAN.PL,I gave my brother all the canoes.,,,,bruening-2001[21],,,,
ex1076,ainu1240,a=i=ko-i-puni wa ipe=an,a=i=ko-i-puni	wa	ipe=an,PASS=LOG.OBJ=to.APPL-ANTIP(here:‘food’)-offer	and	eat=LOG.SBJ,They offered food to me and I ate.,,,,bugaeva-2010[39 (ex.49)],,,,
ex1077,mart1255,Nhiyu murla kampa-rnu nganaju-wu-lu wartirra-lu.,Nhiyu	murla	kampa-rnu	nganaju-wu-lu	wartirra-lu.,this.NOM	meat	cook-PASS.PFV	1SG>OBL-GEN-EFF	woman-EFF,This meat was cooked by my woman.,,,,dench-1995[229],,,,
ex1078,mart1255,Ngunhu mimi murla-a kampa-nngu-layi wartirra-lu.,Ngunhu	mimi	murla-a	kampa-nngu-layi	wartirra-lu.,that.NOM	uncle	meat-ACC	cook-PASS-FUT	woman-EFF,That uncle will have meat cooked for him by the woman.,,,,dench-1995[229],,,,
ex1079,mart1255,Ngunhu pawulu thuur.ta-a murnta-rnu.,Ngunhu	pawulu	thuur.ta-a	murnta-rnu.,that.NOM	child	sweet-ACC	take.from-PASS.PFV,That child had sweets taken away from him.,,,,dench-1995[230],,,,
ex1080,mart1255,Ngayu ngurnu muyi-i kartungu-u kurntal-yu yungku-lha nhawungarra-ma-lwaa.,Ngayu	ngurnu	muyi-i	kartungu-u	kurntal-yu	yungku-lha	nhawungarra-ma-lwaa.,1SG.NOM	that.ACC	dog-ACC	1SG.GEN-ACC	daughter-ACC	give-PST	look.after-CAUS-PURPs/o,I gave your daughter the dog so she could look after it.,,,,dench-1995[261],,,,
ex1081,mart1255,"Ngayu ngurnu muyi-i kartungu-u kurntal-yu yungku-lha, nhawungarra-ma-nnguli-waa.","Ngayu	ngurnu	muyi-i	kartungu-u	kurntal-yu	yungku-lha,	nhawungarra-ma-nnguli-waa.",1SG.NOM	that.ACC	dog-ACC	2SG.GEN-ACC	daughter-ACC	give-PST	look.after-CAUS-PASS-PURPs/o,I gave your daughter the dog so she could look after it. (lit. I gave your daughter the dog so it could be looked after by her.),,,,dench-1995[261],,,,
ex1082,mart1255,Ngunhu pawulu nganaju parla-a warntitha-rralha.,Ngunhu	pawulu	nganaju	parla-a	warntitha-rralha.,that.NOM	child	1SG.ACC	stone-ACC	throw-PST,That child threw a stone at me (hitting me).,,,,dench-1995[68],,,,
ex1083,mart1255,Ngayu parla-a warntitha-rralha ngurnu-ngka muyi-ngka wanyarri-wala.,Ngayu	parla-a	warntitha-rralha	ngurnu-ngka	muyi-ngka	wanyarri-wala.,1SG.NOM	rock-ACC	throw-PST	that.ACC-LOC	dog-LOC	run.away-PURPds,I threw a rock at that dog so it would run away.,,,,dench-1995,,,,
ex1084,mart1255,"Ngunhaa marrari-i yimpala-lwa wangka-nguru ngurnu-ngara-a, kuliya-lwaa-l wiyaa ngula.","Ngunhaa	marrari-i	yimpala-lwa	wangka-nguru	ngurnu-ngara-a,	kuliya-lwaa-l	wiyaa	ngula.",that.NOM	word-ACC	like.that-ID	speak-PRS	that.OBL-PL-ACC	hear-PURPs/o-THEN	maybe	IGNOR,"He talked like that, spoke that word (yirru) to them, so then they would hear (understand) maybe, I don’t know.",,,,dench-1995[223],,,,
ex1085,male1292,Keq kt-iy-oq kisi-pson-at muwinuw-ol kosona al tan?,Keq	kt-iy-oq	kisi-pson-at	muwinuw-ol	kosona	al	tan?,what	2-say.to-INV	PRF-catch-3.CONJ	bear-OBV	or	uncertain	WH,"What did he tell you, did he catch the bear, or not?",,,,bruening-2001[200],,,,
ex1086,male1292,Mali ’-kis-ewestuwam-a-l peskuw-ol pomawsuwinow-ol.,Mali	’-kis-ewestuwam-a-l	peskuw-ol	pomawsuwinow-ol.,Mary	3-PRF-talk.to-DIR-OBV	one-OBV	person-OBV,Mary (Prox) spoke to one person (Obv).,,,,bruening-2001[38],,,,
ex1087,male1292,k-ciksotom-uhti-ne-nnu-l.,k-ciksotom-uhti-ne-nnu-l.,2-listen.to.TR.INAN-PL-n-1PL-INAN.PL,We (INCL.PL) listen to them (INAN).,,,,bruening-2001[43],,,,
ex1088,male1292,k-ciksotuw-a-nnu-kj,k-ciksotuw-a-nnu-kj,2-listen.to.TR.ANIM-DIR-1PL-3PL,We (INCL) listen to them.,,,"The verb agrees with a proximate argument, which is A in the direct. A is indexed through the person prefix and number suffix: verb-final suffix indexes the obviative argument (P).",bruening-2001[43],,,,
ex1089,male1292,k-ciksota-ku-nnu-k,k-ciksota-ku-nnu-k,2-listen.to.TR.ANIM-INV-1PL-3PL,They listen to us (INCL).,,,,bruening-2001[43],,,,
ex1090,male1292,"Nit mil-ut-ss assok-taqsuwakon, kiseltomuw-a-n ‘-tuwehkan etoli-piskahte-k.","Nit	mil-ut-ss	assok-taqsuwakon,	kiseltomuw-a-n	‘-tuwehkan	etoli-piskahte-k.",that.INAN	give-INDF/3-DUB.PRET	strange-noise	INDF.allow-DIR-n	3-use.TR.INAN	IC.there-be.dark-II.CONJ,The wondrous noise that was given to him he is allowed to use in the dark world.,,,,bruening-2001[184],,,,
ex1091,yecu1235,ʔṵ́t kí-ʔḭ́škḭ́ hɔ́n-líbru,ʔṵ́t	kí-ʔḭ́škḭ́	hɔ́n-líbru,s/he	1.OBJ-give	DET-book,S/he gives me the book.,,,,mackay-trechsel-2008[230],,,,
ex1092,yecu1235,šwáan kí-láa-maka-ʔḭ́škḭ́-ɬ (hɔ́n-líbru),šwáan	kí-láa-maka-ʔḭ́škḭ́-ɬ	(hɔ́n-líbru),Juan	1.OBJ-3.OBJ-body.part.prefix-give-PFV	(DET-book),Juan handed them to me (the books).,,,,mackay-trechsel-2008[239],,,,
ex1093,yecu1235,kiná̰n ʔḭ́k-láa-maka-ʔḭ́škḭ́ hɔ́n-líbru,kiná̰n	ʔḭ́k-láa-maka-ʔḭ́škḭ́	hɔ́n-líbru,we	1SBJ-3PL.OBJ-body.part.prefix-give.1PL.SBJ	DET-book,We handed them the book(s). OR: We handed him/her the books.,,,"The 3PL object prefix can index the R (first reading) or the T (second reading). If the R is indexed, the T is not indexed (hence both ‘the book’ and ‘the books’ are possible readings).",mackay-trechsel-2008[238],,,,
ex1094,gama1251,no-e no-ra-lai ya-sǝres-ke-o.,no-e	no-ra-lai	ya-sǝres-ke-o.,he-ERG	he-PL-OBJ	3PL-recognize-PFV-3SG,He recognized them.,,,,watters-2002[79],,,,
ex1095,gaga1251,nji-n-bageerna-wa,nji-n-bageerna-wa,II-3.M-chase-AUX:PST.PFV,He chased her.,,,,harvey-2002[334],,,,
ex1096,yecu1235,kít ʔḭ́k-lakaswá̰a̰t-ni-kán hɔ́m-Pedro,kít	ʔḭ́k-lakaswá̰a̰t-ni-kán	hɔ́m-Pedro,I	1.SBJ-shave-DAT.APPL-REFL	DET-Pedro,"I shave myself for Pedro, OR: I shave Pedro for myself.",,,This example is ambiguous.,mackay-trechsel-2008[248],,,,
ex1097,yecu1235,ʔṵtún ta-láa-lakaswá̰a̰t-ni-kán hɔ́m-Pedro,ʔṵtún	ta-láa-lakaswá̰a̰t-ni-kán	hɔ́m-Pedro,I	SBJ.PL-RECP-shave-DAT.APPL-REFL	DET-Pedro,They shave each other for Pedro. OR: They shave Pedro for each other.,,,This example is ambiguous.,mackay-trechsel-2008[248],,,,
ex1098,yecu1235,ʔṵ́t ʔḭ́ḭwa̰-ɬ hɔ́n-taláqnṵṵt,ʔṵ́t	ʔḭ́ḭwa̰-ɬ	hɔ́n-taláqnṵṵt,s/he	buy-PFV	DET-shirt,S/he bought the shirt.,,,,mackay-trechsel-2008[231],,,,
ex1099,male1292,"‘-Pecim-a-n [putep-ehsis-ol nut-ahc-il], ‘-pet-oqotaha-n eyi-li-t Koluskapiy-il.","‘-Pecim-a-n	[putep-ehsis-ol	nut-ahc-il],	‘-pet-oqotaha-n	eyi-li-t	Koluskapiy-il.",3-attract-DIR-n	[NPwhale-DIM-OBV	hear-3.CONJ.INV-PART.OBV]	3-come-swim-n	IC.be-OBVS-3.CONJ	Koluskap-OBV,He attracts a little whale that hears him; He swims up to Koluskap.,,,,bruening-2001[46],,,,
ex1100,male1292,Kosiciy-ul kis-ankuweht-uwon atomupil-ol Piyel naka Susehp mil-osk-opon-il.,Kosiciy-ul	kis-ankuweht-uwon	atomupil-ol	Piyel	naka	Susehp	mil-osk-opon-il.,know.TR.ANIM-1/2	PRF-sell-2.CONJ	car-INAN.PL	Piyel	and	Joseph	give-2.CONJ.INV-PRET-PART.INAN.PL,I know (about you) that you sold the cars Piyel and Joseph gave you.,,,,bruening-2001[291],,,,
ex1101,male1292,Susehp kis-onuhmuw-ew-it atomupil kakawiye.,Susehp	kis-onuhmuw-ew-it	atomupil	kakawiye.,[NPJoseph	PRF-buy-APPL-1.CONJ.INV	car]	go.fast.3,The car that Joseph bought for me goes really fast.,,,,bruening-2001[161],,,,
ex1102,male1292,"Yet mihqotakon, wen-il kisi-messunom-uwa-t Susehp?","Yet	mihqotakon,	wen-il	kisi-messunom-uwa-t	Susehp?",that.INAN	knife	who-OBV	PRF-show-APPL-3.CONJ	Joseph,"That knife, who did Joseph show it to?",,,,bruening-2001[41],,,,
ex1103,male1292,Tan-iyut yaq kis-ankuwehto-k utapakon Piyel?,Tan-iyut	yaq	kis-ankuwehto-k	utapakon	Piyel?,WH-this.INAN	QUOT	PRF-sell-3.CONJ	3.car	Piyel,Which car did Piyel sell?,,,,bruening-2001[214],,,,
ex1104,male1292,Keqsey etoli-ht-uw-ot wen?,Keqsey	etoli-ht-uw-ot	wen?,what	IC.PROG-make-APPL-2.CONJ	who,What are you making for who?,,,,bruening-2001[158],,,,
ex1105,male1292,Susehp mil-a-n pesq wikhikon yatte wen.,Susehp	mil-a-n	pesq	wikhikon	yatte	wen.,Joseph	give-DIR-n	one	book	each	someone,Joseph gave each person one book.,,,,bruening-2001[134],,,,
ex1106,male1292,"Mali ‘-kis-onuhmuw-ew-a-n tapakon, wot olu skitap.","Mali	‘-kis-onuhmuw-ew-a-n	tapakon,	wot	olu	skitap.",Mary	3-PRF-buy-APPL-DIR-n	car	this	TOP	man,"Mary bought a car for him, this man.",,,,bruening-2001[189],,,,
ex1107,trio1238,namo_ro kïn-ekarama wïja wëri,namo_ro	kïn-ekarama	wïja	wëri,3.PR.COL_EXCT	3.PST.PFV-give	1:DAT	woman,They gave me a woman.,,,,meira-1999[424],,,,
ex1108,trio1238,sen wï-rï ëë-ja,sen	wï-rï	ëë-ja,3.INAN.PROX	1.A-make:PRS.PFV	2-DAT,I made this for you.,,,,meira-1999[424],,,,
ex1109,trio1238,Maani_ja n-ekarama.,Maani_ja	n-ekarama.,Maani_DAT	3.A.O-give:PRS.PFV,S/he gave it to Maani.,,,preverbal R,meira-1999[533],,,,
ex1110,trio1238,n-ekarama Maani_ja.,n-ekarama	Maani_ja.,3.A.O-give:PRS.PFV	Maani_DAT,S/he gave it to Maani.,,,postverbal R,meira-1999[533],,,,
ex1111,trio1238,Kurapina tï-njo inonta-ne.,Kurapina	tï-njo	inonta-ne.,Kurapina	3.R-husband	abandon-PST.PFV,Kurapina abandoned her husband.,,,,meira-1999[501],,,,
ex1112,trio1238,nï-pï,nï-pï,3.A.O-bathe:PRS.PFV,S/he has bathed him/her/it.,,,,meira-1999[501],,,,
ex1113,trio1238,irë-npë_pëe joi tï-wë-e wïja.,irë-npë_pëe	joi	tï-wë-e	wïja.,3.INAN.ANAPH-PST_ABL	lizard.SP	REM.PST-shoot-REM.PST	1:A,After that I shot a lizard.,,,,meira-1999[553],,,,
ex1114,trio1238,Sipaki tï-tuuka-po-e pahko_ja karaiwa_ja.,Sipaki	tï-tuuka-po-e	pahko_ja	karaiwa_ja.,Spike	REM.PST-hit-CAUS-REM.PST	1:father_DAT(A?/CAUSEE?)	Brazilian_DAT(A?/CAUSEE?),(1) My father made the Brazilian hit Spike. (2) The Brazilian made my father hit Spike.,,,Double Dative marking,meira-1999[554],,,,
ex1115,trio1238,"an-po_n-ai kïrï, pihko i-n-kanawa-ntë-hpë?","an-po_n-ai	kïrï,	pihko	i-n-kanawa-ntë-hpë?",WH-LOC_3.SA-COP	man	1:older.brother	3-O.ACT.NMLZ-canoe-BEN.VBLZ-PST,Where is the man to whom my older brother gave a canoe?,,,,meira-1999[574],,,,
