Construction_ID,Construction_parameter_ID,Construction_parameter_value_name_ID,Construction_parameter_value_names_of_Construction_data::Value_name,Value_description,Construction_data_examples::Example_ID,Construction_data_references::Reference_ID,Construction_data_references::Pages
195,10,132,only T,Verbal passive in –il-; only T can be passivized (in a personal passive construction). Inn impersonal passive construction object marking is retained (see under R-passivization).,2809,385,
,,,,,3037,,
196,10,133,either T or R,"Japanese has a direct and the adversative passive. Both objects of a ditransitive verb can be passivized in a direct passive construction (adversative passive allows for passivization of non-arguments as well).
Yet with respect to inchoative-causative alternation, another transitivity alternation, canonical ditransitives differ from caused motiion verbs w.r.t. which argument corresponds to the subject of the inchoative verb (see Other phenomena).",2810,297,
,,,,,3038,,
197,10,136,only R,"The passive marker –w; P promoted to S, A introduced by the oblique preposition na. 
With ditransitives – both basic and derived – only R can be passivized. Cf. the grammatical  (33b) with R passivized, and the ungrammatical  *(33,c) with the T passivized. 

The same holds for  derived ditransitives; with applicatives only the applied object/beneficiary can be passivized (cf. (32c)), with causatives, only the causee (cf. 165 (99a)).l",2811,389,p. 131
,,,,,3039,,
198,10,132,only T,Unmarked passive by fronting the object. In the indirective construction  only T can be passivized.,,390,406
200,10,136,only R,Unmarked passive by fronting the object. R can be passivized only from the secundative (shifted) construction (9); from the indirective one only T can be passivized.,2814,390,406
202,10,132,only T,The passive is formed periphrastically through a combination of the participial form of the main verb and the auxiliary jaa ‘go’ (a less common strategy is through a combination of the ithe bare stem/oblique infinitive and the auxiliary ‘be’) p. 234-5. Only T can be passivize; cf. the grammatical example of T passivization (709a; p. 236) with the ungrammatical example of R passivization (709c; p. 236,,391,237
203,10,132,only T,"Medipopassive prefix (”i-version”), which apart from the reflexive-midle function can be used as a sort of mediopassive. Apparently, only T can be promoted through the use of a mediopassive form.",3045,,
204,10,,,No passive construction.,,,
207,10,136,only R,"Passives through the use of the yak-prefix (which elsewhere performs a causative function). In the passive construction P triggers the absolutive agreement on the verb. In the basic ditransitive  construction, only R passivizes; 677; (18b)",2821,,
209,10,136,only R,"Passives through the use of the yak-prefix (which elsewhere performs a causative function). In the applicative  construction (like in the basic ditransitive  construction), only R passivizes (689; (34b).
NB passives of applicatives must include an inverse marker (p. 690).",2823,,
210,10,132,only T,The passive is formed periphrastically through a combination of the participial form of the main verb and the auxiliary jaa ‘go’ (a less common strategy is through a combination of the ithe bare stem/oblique infinitive and the auxiliary ‘be’) p. 234-5. Only T can be passivize; cf. the grammatical example of T passivization (709a; p. 236) with the ungrammatical example of R passivization (709c; p. 236,2824,391,237
,,,,,3052,,
211,10,135,neither R nor T,"There is no real passive; the passive function is performed either by indefinite subject construction with the 1PL pronoun A used as an expletive pronoun, or by the resultative perfect TI, that functions as the “object resultative” (stative passive; Bamgbose (1966: 94) characterizes it as “perfective tense” ):
cf. with monotransitives:
lgi      náà  (ti)     kán
stich  def   perf   break
‘The stick broke’
With GIVE neither T or R can be passivized in this way. NB maybe because it has a meaning of a concrete resultative: ‘was sent; was bought; was seen’ also impossible.",2825,402,
,,,,,3053,,
215,10,133,either T or R,"No real passive, rather a topicalization. In this construction an object is fronted but the subject is not demoted and the verb retains subject agreement. Both R and T can be topicalized. If R is human and/or pronominal, then it must be resumed either by object AGR (in a double object construction; see (5); 151) or by the resumptive pronoun (in the dative construction; see (2); 150)).",2829,403,151
216,10,133,either T or R,"No real passive, rather a topicalization. In this construction an object is fronted but the subject is not demoted and the verb retains subject agreement. Both R and T can be topicalized. If R is human and/or pronominal, then it must be resumed either by object AGR (in a double object construction; see (5); 151) or by the resumptive pronoun (in the dative construction; see (2); 150)).",2830,403,150
217,10,,,A quasi-passive by suppression of the subject agreement in combination with object topicalization. Yet the construction seems to be rather impersonal as the P is still cross-indexed by the object agreement (and the subject takes a default 3sg form); cf. (333). No examples with ditransitives are given.,,85,221.
218,10,,,A quasi-passive by suppression of the subject agreement in combination with object topicalization. Yet the construction seems to be rather impersonal as the P is still cross-indexed by the object agreement (and the subject takes a default 3sg form); cf. (333). No examples with ditransitives are given.,,,
219,10,,,A quasi-passive by suppression of the subject agreement in combination with object topicalization. Yet the construction seems to be rather impersonal as the P is still cross-indexed by the object agreement (and the subject takes a default 3sg form); cf. (333). No examples with ditransitives are given.,,,
225,10,132,only T,There is a stative passive stativizing the transitive verb through the use of stative tense suffixes w+p’ (STAT.PRES) or –n (STAT.PAST). In this construction ergative agreement prefixes are lost (A may be expressed by the postpositional -la phrase). Only P/T arguments can be passivized.,3067,406,168
226,10,132,only T,"p. 62. ‘Pseudopassives’ (also reflexives and reciprocals) by “detransitivizing prefixes” e-, os-, ot-, etc. Apparently, only direct object (T/P) can be promoted (p. 141 ‘The children taught themselves/each other/were taught’.) p. 133. Alternatively, a stative passive can be formed by a combination of converbial markers ti-..-so from transitive verbs:
ex. (297a) ‘The parrot can be eaten’.",3068,407,133
227,10,132,only T,"p. 62. ‘Pseudopassives’ (also reflexives and reciprocals) by “detransitivizing prefixes” e-, os-, ot-, etc. Apparently, only direct object (T/P) can be promoted (p. 141 ‘The children taught themselves/each other/were taught’.) p. 133. Alternatively, a stative passive can be formed by a combination of converbial markers ti-..-so from transitive verbs:
ex. (297a) ‘The parrot can be eaten’.",,407,133
228,10,132,only T,p. 362. There is no passive. Instead there is a detransitivization by means of the intransive suffix –a. It is restricted to transitives (with intransitives the meaning is rather intensive). p. 364 Another is an “impersonal” construction which (exceptionally) lacks object agreement with ditransitive verbs. Generally it seems to be a sort of astative passive or anticausative. In both case only objects are ‘passivized’ 9no ditransitive examples are given though).,,409,362
3,14,,,"Oh & Zubizarreta citing Barss & Lasnik: In DOC, R is higher than (c-commanding)  T (a) R can bind T but not vice versa (5)",3529,,
,,,,,3757,,
5,14,,,Reflexive pronouns are controlled by subjects only.,,,
19,14,,,Nominal reflexives have only subject antecedents.,,259,166
23,14,,,"Normally antecedent of the reflexive pronoun xod= (my/him…)=self is subject; sometimes (100).
sometimes (100) DO can be antecedent of Indirect object (ex. 415), I made David weary of himself), but not the other way round (102)",3777,260,
34,14,,,Reflexive marker (Verb prefix met-) only Os,,263,
48,14,138,T or R,"Guillaume states that the reflexive/reciprocal prefix ka- can express coreference (with the A) of the P, the T and the R. However, he only gives examples of coreference with the P and the T. (For the R, he only gives a reciprocal example.)",3802,201,
49,14,138,T or R,Either T or R can appear as reflexive prefix (but can both simultaneously? examples only for R) (p. 66).,3803,138,
50,14,,,"p.134. Normally only subject antecedent, but also O if focused/fronted can bind subject
(378b)	Péter-t sajátmaga sebezte meg.
		Peter-ACC self wounded-DEF PFX		
ca. ‘Peter was wounded by (none other but) himself.’

A (fronted) accusative T can bind a dative R (135: ex. (380), see below)), while the opposite pattern is less acceptable (p. 137; ex. 386a)",3804,272,134-137
51,14,140,only T,"p. 335: by a verbal reflexive prefix pina/pama- (sg/pl).
In Allative construction only T reflexivized:",3805,86,
53,14,141,only R,by a verbal reflexive prefix pina/pama- (sg/pl). In Double O construction only R reflexivized:,3579,86,335
54,14,,,"The non-possessive reflexive tavis- tav- is controlled only by the initial Subject; the possessive reflexive tavis- can be controlled by any third-person term (Subject, Direct object, Indirect object). This is independent of constituent order. (pp.23-28, 205-210)",3808,,
55,14,,,"The non-possessive reflexive tavistav- is controlled only by the initial Subject; the possessive reflexive tavis- can be controlled by any third-person term (Subject, Direct object, Indirect object). This is independent of constituent order (pp.23-28, 205-210)",3809,,
56,14,,,"The non-possessive reflexive tavis tav- is controlled only by the initial Subject (i.e. A in the ditransitive construction); the possessive reflexive tavis- can be controlled by any third-person term (Subject, Direct object, Indirect object) - it isn’t clear to me if this includes the R of the ditransitive construction. This is independent of constituent order. (pp.23-28, 205-210)",,,
58,14,,,"Reflexivization by the “middle” marker –t (emphatic pronouns can be used in a reflexive sense optionally in the middle construction):
Middle has anticausative sense: no examples of ditransitives given.",3812,239,782
59,14,,,only subjects control reflexives (reflexive pronoun marinda ‘self’). (p. 97),,211,
64,14,,,"Reflexives expressed by a declined reflexive pronoun men- ‘self’; both O (P/T); or IO (R) can be expressed by reflexive pronouns; see p. 113, ex. (440) for the dative reflexive). Antecedent is always subject.",,240,113
65,14,141,only R,Reflexives by verbal reflexive agreement (reflexive VIC). It may apply to either P or R; cf. (329) and (330b),3819,230,190
70,14,,,"Reflexivization is by a verbal reflexive-middle marker. Both DO (P,T) and IO (R) can be reflexivized.

In the following example A binds P:

mana ali runa-ka wañu-chi-ri-rka
not good man-TOP die-cause-REFL-PST-3
‘The bad man killed himself.’ (ex. (366a), p. 92)",3596,241,
73,14,142,neither R nor T,"Only subjects can bind reflexive pronouns. A DO cannot bind an IO, and an IO cannot bind a DO either.",3827,242,185
75,14,,,Only subjects can bind reflexive pronouns.,3829,,
79,14,,,"Rude 1996: The reflexive like au ‘(him)self’ can replace any animate object, that is either R or T (if the latter is animate);
cf. R-reflexive in (63) ‘The woman gave herself some corn’
cf. T-reflexive in (91) ‘The woman gave herself to the man’",3605,,
,,,,,3833,,
84,14,,,Reflexivization by a verbal reflexive marker (also in reciprocal function) (p. 134 ff.),,161,134ff.
85,14,,,"p. 134 ff. Reflexivization by a verbal reflexive marker (also in reciprocal function).

Causatives: A binds P

NB asymmetry between causatives and applicatives due to the fact that in causative A binding causee is pragmatically unlikely (made himself V??).",3839,161,
86,14,,,"p. 134 ff. Reflexivization by a verbal reflexive marker (also in reciprocal function).. (ii)	
Applicative construction: A Binds O2 (beneficiary)",3840,,
98,14,141,only R,"Aissen 1987: p. 113
Also R primacy in ditransitive reflexives. In a ditransitive reflexive clause, A can bind R not P. Note that ex. ((29) below cannot mean  ‘He gave himself to the police’ (Aissen 1987: p. 113).",3852,,
100,14,,,"Os (Ps and Ts) can be replaced by reflexive diri, IO cannot (p. 223); see (50a).

In this case emphatic reflexive SENDIRI must be used instead (cf. (10b) and ungrammatical (11b) *Brother bought shoes for SELF).",3854,,
101,14,,,"reflexives: R can be replaced by diri (see (56a)), T cannot: see (65a) 
*we trans-sell-ben merchant self",3855,,
102,14,,,Presumably like in applicative secundative construction,,,
107,14,,,"By emphatic REFL pronoun ‘head’, or by personal/logophoric pronouns. Only Subject can be the antecedent.",,283,333
110,14,138,T or R,"[Why is there room for just one example here, but for two under reciprocals]",3864,,
111,14,,,By reflexive pronouns with a subject antecedent. An ex. of BEN binding is (3.38) p. 57.,,,
112,14,,,By reflexive pronouns with a subject antecedent. An ex. of BEN binding is (3.38) p. 57.,,,
113,14,,,"By a combination of passive with an emphatic reflexive; (PASS.see yourself, etc). No ditransitive examples given (109).",,286,
115,14,,,No information in Thompson et al. 2006:86-89,,,
132,14,,,"For some verbs through detransitivization (he washed (intr)) (157); for the majority, by the pronominal reflexive (also reciprocal)  immi- ‘self’ + the appropriate case. 
Only subject can be an antecedent (163), while any NP can be reflexive pronoun, also the (allative) IO. Note however that (p. 160): since immi- must be marked for case, DO-reflexives are in the allative case (immi-nut tuquppuq ‘they killed  themselves’). See also reciprocals for a ditransitive example.",,,
134,14,,,"Pronominal reflexive pa:n ‘self”(in various case forms), normally with a subject antecedent.
In some cases also possible with an object antecedent: see (15b) below of R binding T. (However, subject binding is also possible:; thus (15b) can also mean: ‘I’ll show myself/my brother to Mala in the mirror’",3888,326,125
135,14,144,see description,"Pronominal reflexive pa:n ‘self”(in various case forms), normally with a subject antecedent.
In some cases also possible with an object antecedent: see (15a) below for R binding into PP. (However, subject binding is also possible in this case).",3889,326,125
136,14,,,"personal pronouns and possessive suffixes on nouns may also be used as reflexive (or reflexive possessive) pronouns. In reflexive uses these pronouns normally have a subject antecedent; yet thy may also have an object antecedent if the object is topical and triggers AGR (66):
(178a) father  house-3SH-LOC son -3SG see-PAST-SG.O-3SG
‘The father saw his son in his (father’s or son’s) house’
NB if the O does not trigger AGR then it cannot control reflexives.
No ditransitive examples given.",,327,
137,14,,,"personal pronouns and possessive suffixes on nouns may also be used as reflexive (or reflexive possessive) pronouns. In reflexive uses these pronouns normally have a subject antecedent; yet thy may also have an object antecedent if the object is topical and triggers AGR (66):
(178a) father  house-3SH-LOC son -3SG see-PAST-SG.O-3SG
‘The father saw his son in his (father’s or son’s) house’
NB if the O does not trigger AGR then it cannot control reflexives.
No ditransitive examples given.",,,
138,14,,,"personal pronouns and possessive suffixes on nouns may also be used as reflexive (or reflexive possessive) pronouns. In reflexive uses these pronouns normally have a subject antecedent; yet thy may also have an object antecedent if the object is topical and triggers AGR (66):
(178a) father  house-3SH-LOC son -3SG see-PAST-SG.O-3SG
‘The father saw his son in his (father’s or son’s) house’
NB if the O does not trigger AGR then it cannot control reflexives.
No ditransitive examples given.",,327,
139,14,142,neither R nor T,"p. 233; Some 3-place verbs allow for reflexives with the reflexive pronoun tukia ‘self’  (ex. (357e) ‘rubbed myself’), but GIVE verbs don’t (*give oneself); see 228; and the table on p. 230.",,,
141,14,138,T or R,"Reflexives are expressed by special reflexive forms agreement markers: direct object reflexives (P/T) are expressed by  -ili- belonging to a set of AGRo markers; indirect object reflexives (for R,Ben) are expressed by  -ilim- belonging to a set of AGRdat markers(p. 127, 130).
No ditransitive examples given.",,329,
142,14,,,the verbal reflexive/reciprocal suffix -chel (a “voice” marker in a paradigmatic opposition with direct and inverse). No ditrasitive examples given.,,330,332
143,14,,,the verbal reflexive/reciprocal suffix –chel (a “voice” marker in a paradigmatic opposition with direct and inverse). No ditrasitive examples given.,,330,332
144,14,,,"p. 144. No special reflexive pronouns, by regular object AGR suffixes. No ditransitive examples available.",,,
145,14,,,"p. 144. No special reflexive pronouns, by regular object AGR suffixes. No ditransitive examples available.",,,
146,14,,,"p. 90. The reflexive-middle –rIy (hides himself, etc), which is also used in an antipassive construction (see ‘He gives out cigarettes (habitually)’ on p..90). No ditransitive examples given.",,332,
147,14,,,‘He gives out cigarettes (habitually)’,,,
148,14,,,"p. 90. The reflexive-middle –rIy (hides himself, etc), which is also used in an antipassive construction (see ‘He gives out cigarettes (habitually)’ on p..90). No ditransitive examples given.",,,
152,14,,,By reflexive/reciprocal prefix rina-. No ditransitive examples provided.,,,
153,14,138,T or R,"Pronominal reflexives (e.g. caki ‘oneself’); usually subject bound, but P/T can be also bound by a (preceding)  R; see p.150; (310a):",3907,339,150
158,14,,,Reflexives can be expressed by the middle voice marker (see passive). No ditransitive examples given.,,345,
159,14,,,See Locative construction.,,,
160,14,,,"Pronominal reflexives of the form possessive (genitive) pronoun + buru ‘head’ bere buru <his head> ‘himself’, etc. Antecedent is normally the subject. (Exceptionally though the absolutive P ca bind the ergative A; p. 113). The absolutive object (or its possessor) cannot bind R (IO); p. 113, 115.
IO cannot bind DO either, but IO can bind modifier of DO; 117; (662).
U&H, 623; IO can marginally bind DO; (1415b) dog-DAT itself showed.
(U&H, 631; Dative experiencer cannot also bind ABS: (1438a) John-DAT please himself-ABS).",3914,349,104
162,14,,,"The reflexive pronoun aN-tang ‘self’, normally with a subject antecedent; no ditransitive examples given.",,350,219
164,14,,,Verbal reflexives in –Tadi-; with ditransitives mark coreference with R (T retained).,3918,,
166,14,,,"Both reflexive and reciprocal meaning is marked by the marker –nku- used in place of AGRo (see Reciprocal Construction for examples).
p. 107; if on the other hand, R and T are coreferential/or cross-referential, simply by a respective pronoun (see Reciprocal Construction for examples).",,354,222
169,14,,,"Pronominal reflexives withuwik ‘body’, possible in combination with possessive pronoun. No restrictions noted.",,356,130
173,14,,,"Like English, Chinese only allows the T to antecede a reflexive R in this construction, not the other way round. But according to Xu & Peyraube, this is due to a “general constraint on backward anaphora”, which does not allow, for instance, the Cantonese counterpart of ‘I introduced his student to Mr Li’s wife’, where ‘Mr Li’ does not c-command ‘his’ (so that the constraint on backward anaphora is needed to rule out this sentence).",3699,8,115-117
,,,,,3927,,
178,14,,,"Pronominal anaphors; R can bind T only if precedes it (56a,b ‘I showed Asiba herself’). T binding apparently disallowed.",3932,189,90
180,14,,,T binds R in serial verb construction (cf. (60a): ‘I take Asiba show herself’.,3706,189,94
181,14,,,"Argument reflexives controlled by subjects only (A/S). Possessive reflexives if a subject controlled with same, if non-subject controlled then by pronoun plus focus particle combination. Either object can bind the other if preceding it; cf. T binding R-possessor in (29), and R binding T-possessor in (30).",3707,40,
,,,,,3935,,
184,14,141,only R,"Reflexivization (through the use of verbal reflexive-reciprocal marker –idi-) also “absorbs” R, resulting in a pseudo-transitive structure with secondary object:",3710,165,
186,14,142,neither R nor T,"p. 54-6. A verbal reflexive marker –θət, replacing the object marker., which is used when object is coreferential with the subject.
In (derived applicative) ditransitives, S cannot bind T argument in a reflexive construction, since T is oblique rather than object; cf. the ungrammatical   (85) p. 113; ‘I gave it to myself’. But apparently if A cannot bind T here, either (no examples give though).
p. 181. There is however a special construction (called “object cancellation”) for reflexive R/Ben arguments: it involves the use of intransitive marker following the applicative, SEE (124) ‘I baked myself bread’.",3712,366,54 ff.
189,14,,,"Pronominal reflexive nijO ‘self’ taking case suffixes. Normally has a subject antecedent. But also no-subjects (e.g. dative experiencers) can be antecedents, “if there is no animate subject”(p. 105). No ditransitive examples given.",,368,104
191,14,141,only R,"SC has special reflexive forms (largely differing in tone/stress). With ditransitive GIVE, it seems that only R can be co-referential with A; T can be only inanimate in this construction (attested with the idiom ‘give-heart’ ≈ ‘control one’s feelings’).",3717,369,225
192,14,,,"SC has special reflexive forms (largely differing in tone/stress). With ditransitive GIVE, it seems that only R can be co-referential with A; T can be only inanimate in this construction (see ditransitive inanimate construction).",,369,225
193,14,,,By a pronominal Dokui ‘self’ + (possessive) pronoun (i.e. my-self type). Apparently with a subject antecedent. No ditransitive examples given.,,370,p. 49
195,14,140,only T,"Pronominal reflexives, usually with the subject antecedent, but can also be with the object antecedent (R-antecedent, below). In case of complex reflexive pronouns, only object antecedent is possible (R-antecedent, below).
Soltan Gülnar-dI özIn-e  özin  ayna-da kör-set-ti
Soltan Gülnar-DAT self-DAT self-ACC  mirror-LOC se-CAUS-3PL
‘Soltan showed Gülnar herself in the mirror’",3949,385,
196,14,141,only R,"The reflexive jibun ‘self’ has normally a subject antecedent (although it may be a subordinate subject).
The data on reflexive binding w.r.t. R and T is not clear; see (63a,b) from (M&T), but R-binding T is judged as better than T binding of R.",3722,297,
,,,,,3950,,
197,14,141,only R,"The verbal reflexive –ji (replacing the object agreement). With ditransitives  REFL refers to R (cf. (53b)). If REFL refers to T, apparently R should be a prepositional object rather than an applicative object; cf. (55b)

We think there is a misprint in the gloss of example 55b (DAT -> BEN?)",3723,389,p. 137.
,,,,,3951,,
198,14,140,only T,"Reflexive  pronouns are built on personal pronouns with a reflexive markers –yè. It can attach to both direct and indirect objects, in the latter case in combination with the preposition. Thus,  reflexivization  is indirective in this pattern",,390,416
200,14,141,only R,"Reflexive  pronouns are built on personal pronouns with a reflexive markers –yè. It can attach to both direct and indirect objects, in the latter case in combination with the preposition. Thus,  reflexivization  is secundative in this pattern.",,390,416
202,14,138,T or R,"Reflexives by the pronominal reflexive aap (131). It is capable of occurring in any object position, with indirect objects in combination with nüü (p. 135). No ditransitive examples are provided.",,391,135
204,14,,,"There is a reflexive verbal suffix  -k(i)- used with some monotransitives (caci-ki ‘pierce oneself’), it is not clear whether they can be used with ditransitives as well.",,397,1880
207,14,141,only R,Reflexive-reciprocal prefix ni- on the verb to indicate coreferentiality of subject and object. In the basic ditransitive  pattern the agent binds with the recipient in the reflexive and reciprocal; cf. the reflexive; 678;(20a),3733,398,
209,14,141,only R,Reflexive-reciprocal prefix ni- on the verb to indicate coreferentiality of subject and object. In the  the applied construction;  A binds the applied object in the in the reflexive construction (37b)  691.,3735,,
210,14,138,T or R,"Reflexives by the pronominal reflexive aap (131). It is capable of occurring in any object position, with indirect objects in combination with nüü (p. 135). No ditransitive examples are provided.",,391,131
211,14,,,By reflexive pronominal araa ‘body’. etc. Both T and R can be bound (see an example under the secundative SVC),,402,
215,14,144,see description,"Either by the middle voice inflection, or by a reflexive pronoun kEn- ‘self’. No ditransitive examples given, but noted that the middles is used when “the subject is coreferential with the logical direct object” (p. 133); thus apparently it cannot be used with R. Pronominal reflexives apparently without restrictions.",,403,133
216,14,144,see description,"Either by the middle voice inflection, or by a reflexive pronoun kEn- ‘self’. No ditransitive examples given, but noted that the middles is used when “the subject is coreferential with the logical direct object” (p. 133); thus apaerntly it cannot be used with R. Pronominal reflexives apparently without restrictions.",,403,133
217,14,138,T or R,"Either a combination of a pronoun with dodoc ‘self’, or by coreferential agreement (cf. hit-me-I  ‘I hit myself’, etc). When the reflexive is expressed in the verb, it can refer to either to direct or indirect object; the latter, e.g., with GIVE in (584)",3743,85,p. 123.
218,14,138,T or R,"Either a combination of a pronoun with dodoc ‘self’, or by coreferential agreement (cf. hit-me-I  ‘I hit myself’, etc). When the reflexive is expressed in the verb, it can refer to either to direct or indirect object; the latter, e.g., with GIVE in (584)",,85,
219,14,138,T or R,"Either a combination of a pronoun with dodoc ‘self’, or by coreferential agreement (cf. hit-me-I  ‘I hit myself’, etc). When the reflexive is expressed in the verb, it can refer to either to direct or indirect object; the latter, e.g., with GIVE in (584).

Benefactive reflexives are expresses by dodoc; ex. (591).",3745,85,
225,14,140,only T,"Two types of reflexives: the verbal reflexive ç- and the pronominal reflexive a-xè ‘head’ with the possessive prefixes. The verbal reflexive which must be preceded by the possessive agreement (reflecting the person of the antecedent) replaces the absolutive agreement (AGR-1). Thus only T/P–reflexives can be marked on the verb. For coreferentiality with the R, pronominal reflexives must be used (p 79.  “I gave myself a present’). Thus, verbal reflexivization is indirective.",3979,406,76
226,14,,,"Reflexives (also reciprocals and ‘pseudopassives’) by “detransitivizing prefixes” e-, os-, ot-, etc. Apparently, only direct object (T/P) can be targeted targeted (coreferential with A).
R-reflexives are formed through another construction: the combination of the form ti=wya (possessive-reflexive form attached to the postposition) and the discourse particle rma ‘same’",3752,407,62
227,14,,,,3981,407,62
228,14,,,"p. 368. Reflexive constructions, either pronominally with muan ‘self’ or by the verbal detransitivizing suffix –a. The former can be used without restrictions. The latter is not completely productive, but can apparently apply to objects (that is Ps and Ts?) only (cf. ct-myself).",,409,68
5,15,,,Only R can be normally promoted to subject of a reciprocal construction.,3987,,
7,15,,,In reciprocal constructions both Os and Rs can be reciprocalized.,3989,,
,,,,,4217,,
18,15,,,"Reciprocalization is possible on both direct, indirect (R), and oblique (animate) Os.",4000,234,300
23,15,,,reciprocals (p. 103-4): indirective: hæm(dige) used for DO-reciprocals (see each other); be ‘to’ + hæm ‘to each other;,4005,,
33,15,,,Animate Os (including Rs) can be reciprocalized.,4015,,
35,15,,,"Kaiser presents the following judgments: 

(OK)T-R.recp, 
?R-T.recp, 
?R.recp-T, 
*T.recp-R. 

(She concludes from this that the underlying order is T-R, but she needs the abstract device of “reconstruction” to make it work.)",4017,,
36,15,,,"reciprocals: (263-5) by verbal reciprocal –kak- (very restricted in reflexive function), no ditransitive examples given.",,,
48,15,145,either T or R,"Guillaume states that the reflexive/reciprocal prefix ka- can express coreference (with the A) of the P, the T and the R. However, for reciprocal use he only gives an example of the P and the R. (For the T, he only gives a reflexive example.)",4030,,
49,15,,,[No relevant data found.],,,
50,15,,,"reciprocal pronouns.
p. 146: (421a)(ex. 15a below): P/T can bind reciprocal R, but not the other way round (cf ungrammatical (426a) on p. 147 (ex. 15b below)",4032,,
,,,,,4260,,
51,15,,,"By reciprocal prefix papa-:
only T stands in a reciprocal relation",4261,,
53,15,,,only R stands in a reciprocal relation,4035,,
54,15,,,No information.,,,
55,15,,,No information.,,,
56,15,,,No information.,,,
57,15,,,REC by a verbal prefix =e=; both from transitives and intransitives; no ditransitive examples given.,,145,211
58,15,,,Reciprocals by verbal suffix. Can indicate cross-coreferentiality of the R with the subject.,4040,239,806
59,15,,,"p. 347; DOs can form reciprocals regularly: (ex. 9-124).
Also oblique objects (in PROP case) of “semitransitive” verbs ‘look for’ (allowing for DOM) can feed reciprocals.
However R of ditransitivess (with verbal dative?) cannot. (p. 90).",,,
64,15,146,only R,"By verbal suffix  -mAt- (optionally by reciprocal pronouns). Also IO(R) can be in a reciprocal relation (also BEN ex.461, p.118).",4046,240,
73,15,147,either T or R (but not both),"by reciprocal pronouns, also for R(IO), DO (Th) can bind IO (R), be antecedent for IO",4055,,
,,,,,4283,,
110,15,147,either T or R (but not both),[Example for T needs to be found],4092,,
111,15,,,Reciprocal irregular through reduplication. No example with ditransitives given.,,285,124
112,15,,,Reciprocal irregular through reduplication. No example with ditransitives given.,,285,124
113,15,,,The passive also occurs in reciprocal function; in plural by a special prefix anna-. No ditransitive examples are given (111).,,,
115,15,,,No information in Thompson et al. 2006:89.,,,
123,15,,,By the reciprocal suffix -nE; can mark cross-coreferentiality with both DOs and IOs.,4105,294,213
132,15,,,"Like reflexives reciprocals are formed by  the anaphoric immi- ‘self’ with the plural verbal inflection. When used in a main object position immi- takes the ALL case (as it must be marked for case; see ‘Reflexive construction’). Thus, ex. (b) below,  looks like a reciprocal from an indirective patter; actually however, the base construction is secundative, reflexive stands in the ALL as usual for DO-related reflexives and reciprocals (p. 166).",4114,,
134,15,147,either T or R (but not both),"Reciprocals pronominal by akh+Ekis ‘one to one’. 
Normally only a subject antecedent (see Perfective Construction for examples)
However  object antecedents also possible; in this case apparently a (Preceding) T can bind  (see 14b) below), but also a (preceding) R can bind into PP (see 14a) under  Perfective Construction).",4116,326,129
135,15,147,either T or R (but not both),"Reciprocals pronominal by akh+Ekis ‘one to one’. 
p. 130; apparently the same form (above ) is used for P/T and R relations (eac_other.DAT/ACC).
Normally only a subject antecedent; for examples of object antecedents see (14b) below and also Imperfective construction.",4117,326,129 f.
,,,,,4345,,
140,15,,,"The verbal recirocal prefix na.
R can be reciprocalized along with P (p. 160). In the reciprocal  construction T remains a secondary object (p. 230).",4122,,
141,15,147,either T or R (but not both),"Reciprocals, like reflexives, are expressed by special reciprocal forms of agreement markers: direct object reflexives (P/T) are expressed by  -itti- belonging to a set of AGRo markers; indirect object reflexives (for R,Ben) are expressed by  -itim- belonging to a set of AGRdat markers(p. 127, 130).

No ditransitive examples are given.",,329,127 ff.
142,15,,,The verbal reflexive/reciprocal suffix –chel (a “voice” marker in a paradigmatic opposition with direct and inverse). No ditrasitive examples given.,,330,332
143,15,,,The verbal reflexive/reciprocal suffix is –chel (a “voice” marker in a paradigmatic opposition with direct and inverse). No ditransitive examples are given.,,330,332
144,15,,,"No special reciprocal pronouns, by regular object AGR suffixes. 

No ditransitive examples available.",,331,144
145,15,,,"No special reciprocal pronouns, by regular object AGR suffixes. 

No ditransitive examples available.",,331,144
146,15,,,Verbal reciprocal  either through reduplication or the suffix –(n)bariy. No ditransitive examples given.,,332,92
147,15,,,Verbal reciprocal  either through reduplication or the suffix –(n)bariy. No ditransitive examples given.,,332,92
148,15,,,Verbal reciprocal  either through reduplication or the suffix –(n)bariy. No ditransitive examples given.,,332,92
149,15,,,The verbal reciprocal prefix po-. No ditransitive examples given.,,335,273
150,15,,,The verbal reciprocal prefix po-. No ditransitive examples given.,,335,273
151,15,,,The verbal reciprocal prefix po-. No ditransitive examples given.,,335,273
152,15,,,By reflexive/reciprocal prefix rina-. No ditransitive examples provided.,,337,
153,15,147,either T or R (but not both),"The pronominal reciprocal  selo ‘mutually’ can replace both DO and IO, taking ACC or DAT postpositions accordingly. No ditransitive examples given.",,339,166
158,15,,,"The middle could also be used in the reciprocal function (for P arguments, also for possessors). No ditransitive examples given.",,345,121
159,15,,,See Locative construction.,,,
160,15,,,"Pronominal reciprocals with elkar ‘each other’; reciprocal can refer also to the IO; in this case being in dative case; p. 121. No ditransitive examples given.
U&H, 608; (1384a) shook each other-DAT hands’.
Another pronominal reciprocal marker ata bestea ‘one another’  similarly have indirective construction; see (1390c).",4142,349,120
164,15,,,Reciprocal in –mali used to cross-reference A with P or with R in a ditrasitive (double object) construction (T is retained); p. 73; (168) ‘They give each other meat’.,4146,,
